,SIO2(WT%),AL2O3(WT%),FEOT(WT%),MGO(WT%),CAO(WT%),NA2O(WT%),K2O(WT%),TIO2(WT%),CR(PPM)
468,56.52,13.42,6.87,10.63,6.34,3.11,2.12,0.71,0
469,56.34,16.28,6.43,8.73,6.47,2.76,2.09,0.65,0
470,56.24,14.17,7.12,8.54,9.13,2.0,1.8,0.73,0
471,56.21,13.8,7.28,10.56,7.13,2.65,1.41,0.72,0
472,56.07,14.46,7.8,8.92,7.28,2.48,1.84,0.87,0
473,56.83,16.11,6.31,7.38,7.32,2.82,2.24,0.66,0
474,55.5,14.29,7.85,9.58,7.92,2.34,1.53,0.71,0
475,60.08,15.84,5.63,6.13,5.45,3.83,1.65,1.02,0
476,55.61,15.93,6.88,7.85,6.21,4.02,1.74,1.31,0
477,55.54,16.12,7.05,7.79,6.86,3.55,1.46,1.26,0
478,53.65,16.34,7.56,9.57,8.38,2.56,0.93,0.75,0
479,57.01,13.89,7.79,8.42,7.39,2.66,1.64,0.87,0
480,56.93,13.92,7.84,8.43,7.38,2.62,1.72,0.86,0
481,55.34,13.75,8.9,8.93,7.53,2.79,1.55,0.9,0
482,44.78,13.92,9.73,12.09,12.04,3.38,1.36,1.92,0
483,45.64,13.93,9.86,13.25,10.87,2.8,1.29,1.65,0
484,45.86,13.84,10.21,11.97,11.01,2.93,1.58,1.89,0
485,46.09,13.29,10.31,12.33,11.41,2.6,1.33,1.91,0
486,46.29,14.88,9.68,11.09,9.35,4.34,0.91,2.7,0
487,46.74,15.51,9.23,9.92,9.12,4.63,1.26,2.8,0
488,47.43,15.38,10.24,10.23,9.73,3.08,1.44,1.96,0
489,47.58,14.72,10.89,11.07,9.49,2.87,0.86,1.87,0
490,47.61,14.44,10.11,11.51,9.46,2.81,1.57,1.89,0
491,47.71,15.92,10.95,11.1,8.09,1.83,1.31,2.58,0
492,47.71,14.8,10.16,11.38,9.46,2.55,1.38,1.95,0
493,47.76,14.5,9.86,10.64,10.79,3.02,0.91,1.83,0
494,48.21,15.26,9.18,11.01,10.01,3.06,1.11,1.47,0
495,48.34,15.24,9.26,9.56,9.54,3.1,1.82,2.17,0
496,48.67,15.04,9.18,9.88,10.66,3.03,1.24,1.65,0
497,48.78,16.43,8.55,9.92,10.98,1.92,1.3,1.59,0
498,48.98,14.85,9.72,10.29,10.1,2.86,0.99,1.69,0
499,49.54,13.81,10.13,10.7,9.89,2.76,1.03,1.61,0
500,49.84,13.7,9.75,11.96,7.37,3.42,1.46,1.97,0
501,50.08,13.1,10.47,11.49,7.71,3.25,1.49,1.99,0
502,46.9,14.55,10.2,13.15,9.13,2.66,1.33,1.51,0
503,47.05,15.2,9.99,11.98,10.91,2.24,1.24,0.98,0
504,47.15,15.68,9.77,10.56,9.64,3.02,1.86,1.68,0
505,49.49,15.62,9.61,10.04,10.18,2.7,0.78,1.16,0
506,49.93,16.3,9.17,9.88,9.72,2.88,0.7,1.04,0
507,50.15,14.14,8.91,12.2,9.38,2.89,1.05,0.9,0
508,50.5,13.75,8.84,11.83,10.78,2.31,0.87,0.76,0
509,50.56,13.59,8.88,12.41,9.71,2.72,0.9,0.89,0
510,50.65,13.07,10.31,11.06,9.5,2.36,1.25,1.27,0
511,50.66,16.36,8.74,9.45,9.11,3.24,0.9,1.11,0
512,50.96,13.95,8.97,11.37,9.68,2.86,0.96,0.91,0
513,51.53,16.39,8.97,9.6,8.53,2.71,1.06,0.82,0
514,51.59,13.78,8.5,12.18,8.43,2.57,1.68,0.73,0
515,51.62,14.41,8.74,11.28,9.89,2.33,0.58,0.84,0
516,51.63,14.12,8.75,11.22,9.01,2.92,1.11,0.87,0
517,51.64,13.53,8.66,11.9,10.23,2.38,0.57,0.81,0
518,51.79,13.58,8.6,11.6,10.29,2.49,0.55,0.81,0
519,51.83,13.56,8.63,11.89,10.11,2.34,0.56,0.8,0
520,51.88,13.47,8.57,11.88,10.16,2.43,0.53,0.78,0
521,51.91,13.94,8.72,10.96,10.17,2.59,0.59,0.82,0
522,52.04,13.99,8.55,11.12,10.18,2.42,0.58,0.83,0
523,52.59,12.59,8.95,11.41,8.9,2.81,1.45,0.92,0
524,52.73,14.46,8.38,9.88,9.3,3.38,0.72,0.83,0
525,52.74,12.63,8.62,11.98,8.69,2.71,1.36,0.88,0
526,53.13,12.51,8.57,11.61,8.6,2.87,1.44,0.87,0
527,53.18,16.39,8.05,9.83,7.65,2.81,0.63,0.98,0
528,53.48,15.27,8.24,8.84,9.36,2.88,0.76,0.85,0
529,53.5,14.59,8.21,9.44,9.59,2.78,0.74,0.84,0
530,53.75,14.95,7.29,10.71,8.08,3.09,1.06,0.71,0
531,54.32,13.79,7.56,11.07,7.89,3.01,1.36,0.66,0
532,54.47,15.7,6.91,9.77,7.43,3.72,1.1,0.63,0
533,54.49,15.05,7.17,9.57,8.44,3.07,1.15,0.72,0
534,54.66,16.04,6.85,8.72,8.35,3.47,0.81,0.8,0
535,54.79,15.79,6.65,9.5,7.39,3.82,1.14,0.64,0
536,54.89,15.73,7.34,8.7,7.02,3.84,1.16,0.99,0
537,57.55,15.85,5.35,8.14,6.18,4.24,1.66,0.73,0
538,49.35,14.46,8.42,12.61,11.36,1.9,0.73,0.8,0
539,50.21,15.38,7.81,11.19,11.33,2.56,0.33,0.95,0
540,51.21,16.92,7.72,8.26,10.64,3.41,0.41,1.14,0
541,47.51,15.82,9.61,11.41,11.21,2.2,0.99,0.88,0
542,53.43,16.04,7.4,9.06,9.57,2.62,0.88,0.66,0
